"","file","date","time_point","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","13.04.2022","t0",23.288,0.676976744186047,98575.87572,2865.57778255814,80.5153211868659,145.908062755262,27.6146347897783,15.5155913791834,686.685524751451,412.398936045708,587.727837837838,402.385258628919,0.360540540540541,0,0.01,0.118604651162791,0.104651162790698,0.0658139534883721,0.0525581395348837,0.28,0,0.0453488372093023,0,0
"2","sample_00002","13.04.2022","t0",20.24,0.588372093023256,27086.69484,787.403919767442,60.0034129574599,42.269198818229,26.0632260389875,11.6260189150543,372.250080470017,268.523466036766,243.7365625,239.358957346484,0.484375,0,0.017906976744186,0.116744186046512,0.225116279069767,0.0965116279069767,0,0.104651162790698,0.0174418604651163,0,0.01,0
"3","sample_00003","13.04.2022","t0",9.808,0.285116279069767,18037.5012,524.345965116279,67.7332293000702,53.8565443035296,26.5279323011752,8.65060108435033,441.17249404235,288.387421696081,329.13625,259.457360475667,0.58625,0,0.0348837209302326,0.0283720930232558,0.0351162790697674,0.0811627906976744,0.0290697674418605,0.0248837209302326,0.0225581395348837,0,0.0290697674418605,0
"4","sample_00004","13.04.2022","t0",18.232,0.53,39054.61494,1135.30857383721,72.3044100919616,45.6501633975255,31.3708996439267,13.5899203991206,549.839286170281,261.032788984944,390.855909090909,284.211023657039,0.348181818181818,0,0.0281395348837209,0.0253488372093023,0.0286046511627907,0.180232558139535,0.0581395348837209,0.127906976744186,0.0288372093023256,0.0290697674418605,0.0237209302325581,0
"5","sample_00005","13.04.2022","t0",28.088,0.816511627906977,81662.40504,2373.90712325581,68.2460477336758,117.890007782553,25.3239616993545,13.7354449486157,509.488170268769,415.940183146094,420.869811320755,407.646250798837,0.499811320754717,0.00488372093023256,0.0525581395348837,0.138139534883721,0.255348837209302,0.0762790697674419,0.0330232558139535,0.214651162790698,0,0.0416279069767442,0,0
"6","sample_00006","13.04.2022","t0",27.016,0.785348837209302,41364.74304,1202.46346046512,60.0751614409617,36.1121744524071,27.3335136315868,10.3044226040338,402.707748915474,315.441757578383,282.517735849057,300.305934120277,0.505283018867924,0.0111627906976744,0.148139534883721,0.187674418604651,0.122558139534884,0.133488372093023,0.0209302325581395,0.118139534883721,0.0332558139534884,0,0.01,0
"7","sample_00007","13.04.2022","t0",12.624,0.366976744186047,23044.33152,669.893358139535,69.5792944928668,54.2616901041098,27.8886085959113,10.4937540677438,419.577588563135,309.185050068002,267.361612903226,266.517179810193,0.456451612903226,0.0127906976744186,0.0267441860465116,0.102093023255814,0.0802325581395349,0.0206976744186047,0.0141860465116279,0.0637209302325581,0.0323255813953488,0,0.0141860465116279,0
"8","sample_00008","13.04.2022","t0",22.48,0.653488372093023,38350.09476,1114.82833604651,61.3006659369245,41.7068174569064,27.5478272153017,11.7787076456588,518.297193742214,281.363327968925,375.395510204082,294.716752373227,0.467551020408163,0,0.037906976744186,0.183720930232558,0.0423255813953488,0.156046511627907,0.0527906976744186,0.0927906976744186,0.0344186046511628,0.0244186046511628,0.0290697674418605,0
"9","sample_00009","13.04.2022","t0",23.424,0.68093023255814,94840.17354,2756.98178895349,109.393986474425,195.413579568507,33.007630880098,21.8161416834981,526.199520089382,278.44916254353,354.834473684211,296.29099490742,0.422894736842105,0,0.0786046511627907,0.0602325581395349,0.0174418604651163,0.260232558139535,0.0865116279069768,0.119767441860465,0.0290697674418605,0.0290697674418605,0,0
"10","sample_00010","13.04.2022","t0",13.648,0.396744186046512,23432.6115,681.180566860465,64.6868068390783,38.2280390733133,27.0943381147843,9.0419788035613,474.274542078793,300.033350516613,273.881428571429,281.42030675283,0.48952380952381,0,0.0153488372093023,0.0251162790697674,0.0527906976744186,0.134418604651163,0.0290697674418605,0.0906976744186047,0.0202325581395349,0,0.0290697674418605,0
"11","sample_00011","13.04.2022","t0",19.328,0.561860465116279,47922.8562,1393.10628488372,80.1955909503135,74.6388273777474,29.3270161691282,12.1598597086202,570.537028549555,283.365490490858,359.841923076923,245.638018849188,0.348076923076923,0.0290697674418605,0,0.0525581395348837,0.0662790697674419,0.158837209302326,0.0534883720930233,0.0965116279069767,0,0,0.105116279069767,0
"12","sample_00012","13.04.2022","t0",9.008,0.261860465116279,12812.3208,372.451186046512,49.7361043788139,29.8575908504649,24.5060138767834,11.5575608539773,397.027268532968,266.772276001059,267.732222222222,260.699866164716,0.482777777777778,0,0.0283720930232558,0.0506976744186047,0.0502325581395349,0.0483720930232558,0.0290697674418605,0.0551162790697674,0,0,0,0
