"","file","date","time_point","comment","indiv_per_frame","indiv_per_volume","bioarea_per_frame","bioarea_per_volume","major_mean","major_sd","minor_mean","minor_sd","gross_speed_mean","gross_speed_sd","net_speed_mean","net_speed_sd","sd_turning_mean","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet"
"1","sample_00001","13.04.2022","t0",NA,0.75,0.0218023255813953,3433.43691,99.8092125,75.2503447794473,132.773620479051,27.1225327865907,14.3504614248995,655.480227104608,408.503477106802,559.395111111111,402.274879860108,0.388222222222222,0.00430232558139535,0.00476744186046512,0.0327906976744186,0.0228488372093023,0.0181976744186047,0.0131395348837209,0.0711046511627907,0,0.0113372093023256,0,0
"2","sample_00002","13.04.2022","t0",NA,1.238,0.0359883720930233,5527.57689,160.685374709302,64.7323738410116,45.9956858771012,26.8029568521707,12.1661468202089,457.270813355999,376.328335816749,347.11511627907,384.4375858958,0.47046511627907,0.000581395348837209,0.00726744186046512,0.0334883720930233,0.0568023255813953,0.0205813953488372,0,0.0288372093023256,0.0063953488372093,0,0.0025,0
"3","sample_00003","13.04.2022","t0",NA,1.344,0.0390697674418605,8058.08898,234.246772674419,55.0022311933686,49.2470711757251,23.5540056908579,9.71746433911948,351.276223957157,286.574788780632,252.33652173913,245.522982975464,0.631739130434783,0.00354651162790698,0.00872093023255814,0.00709302325581395,0.0103488372093023,0.0211046511627907,0.00726744186046512,0.00622093023255814,0.00563953488372093,0,0.00726744186046512,0
"4","sample_00004","13.04.2022","t0",NA,2.148,0.0624418604651163,10532.209275,306.168874273256,65.6116097847417,42.2548884001798,29.8665844113259,13.4659511806319,463.562368983037,289.304263802211,330.086551724138,287.638618014687,0.443103448275862,0.000872093023255814,0.00901162790697674,0.00633720930232558,0.00965116279069768,0.0473255813953488,0.0145348837209302,0.0319767441860465,0.0072093023255814,0.00726744186046512,0.00593023255813954,0
"5","sample_00005","13.04.2022","t0",NA,1.042,0.0302906976744186,6846.07545,199.01382122093,62.4038202662555,102.573045931576,24.6277536415279,12.4761083563684,535.692047207462,419.292477509334,443.395277777778,405.468924117834,0.493194444444444,0.00767441860465116,0.0122093023255814,0.0397093023255814,0.0619186046511628,0.0197093023255814,0.00901162790697674,0.0581395348837209,0.0052906976744186,0.010406976744186,0,0
"6","sample_00006","13.04.2022","t0",NA,1.056,0.0306976744186047,6461.07597,187.821975872093,57.8527718215236,38.1480947326644,26.0234635706236,10.5247896434607,449.877097195451,351.834926121813,348.670821917808,354.852614983216,0.492054794520548,0.000872093023255814,0.0378488372093023,0.0627325581395349,0.0331976744186046,0.0301744186046512,0.00523255813953488,0.031453488372093,0.0106976744186047,0,0.0025,0
"7","sample_00007","13.04.2022","t0",NA,1,0.0290697674418605,9688.6287,281.646183139535,59.771616833664,50.5649113411244,25.061870723313,11.0185375943532,407.947269512555,348.600963520872,294.468636363636,318.142901865497,0.431363636363636,0.00459302325581395,0.00668604651162791,0.0341860465116279,0.0241860465116279,0.00656976744186047,0.00354651162790698,0.0127325581395349,0.00732558139534884,0,0.00354651162790698,0
"8","sample_00008","13.04.2022","t0",NA,1.286,0.0373837209302326,5741.104635,166.892576598837,59.2272896744096,40.9055264610152,26.0819132476667,11.6791095667889,495.872739967468,295.44009329553,373.956935483871,300.367989216881,0.480322580645161,0.00418604651162791,0.0121511627906977,0.0507558139534884,0.0132558139534884,0.0390116279069768,0.0131976744186047,0.0231976744186047,0.0116860465116279,0.0061046511627907,0.00308139534883721,0
"9","sample_00009","13.04.2022","t0",NA,0.876,0.0254651162790698,4796.02539,139.419342732558,99.4309235240949,178.756575023924,31.6811663507296,20.5247504008009,489.552903495264,275.118327525467,330.347391304348,282.227145622771,0.466304347826087,0,0.0223255813953488,0.0191279069767442,0.00540697674418605,0.0716860465116279,0.0216279069767442,0.0237790697674419,0.00726744186046512,0.00726744186046512,0,0
"10","sample_00010","13.04.2022","t0",NA,2.018,0.0586627906976744,9880.439535,287.222079505814,58.0331589251571,37.2196811126117,25.1118005995786,9.66718322871798,424.847251018758,304.633636444347,258.136538461538,271.884425871616,0.485,0,0.00476744186046512,0.00627906976744186,0.0153488372093023,0.035,0.00726744186046512,0.0226744186046512,0.00505813953488372,0,0.00726744186046512,0
"11","sample_00011","13.04.2022","t0",NA,1.216,0.0353488372093023,5137.098975,149.33427252907,78.8802546003937,67.412545988239,29.2187731886084,11.3838462946442,559.979263213181,307.400344950954,380.930294117647,297.451665597249,0.348823529411765,0.00726744186046512,0.00122093023255814,0.0141279069767442,0.0179651162790698,0.0416279069767442,0.0133720930232558,0.0267441860465116,0,0,0.0271511627906977,0
"12","sample_00012","13.04.2022","t0",NA,2.27,0.0659883720930233,14665.311225,426.317186773256,49.6979818702208,28.9775211436283,23.8699324788802,11.1999800009135,385.554714900887,285.232112251659,269.412173913043,270.961299147993,0.488260869565217,0.00441860465116279,0.00709302325581395,0.0137209302325581,0.00994186046511628,0.012093023255814,0.00726744186046512,0.0147093023255814,0,0.000813953488372093,0,0
