"","Ble","Cep","Col","Eug","Eup","Lox","Pau","Pca","Spi","Spi_te","Tet","class.error"
"Ble",2378,5,1,56,2,3,0,0,13,4,32,0.0465116279069767
"Cep",14,144,0,0,0,3,2,0,4,7,0,0.172413793103448
"Col",1,2,323,0,3,1,3,2,0,0,1,0.0386904761904762
"Eug",14,1,0,224,0,1,0,0,2,1,2,0.0857142857142857
"Eup",0,0,1,0,236,1,4,2,6,2,0,0.0634920634920635
"Lox",6,1,1,0,2,173,1,0,0,4,0,0.0797872340425532
"Pau",0,0,0,0,2,0,208,16,0,0,0,0.079646017699115
"Pca",0,0,0,0,0,0,2,78,0,3,0,0.0602409638554217
"Spi",3,0,0,1,17,13,6,4,400,16,4,0.137931034482759
"Spi_te",0,0,0,0,0,0,0,0,1,88,0,0.0112359550561798
"Tet",0,0,0,0,0,0,0,0,0,2,117,0.0168067226890756
